id,productId,propertyTypeId,value
1,1,1,"Keith Ferrazzi, Tahl Raz"
2,1,2,Bìa mềm
3,1,3,NXB Trẻ
4,1,4,09-2017
5,1,5,388
6,1,6,Tiếng Việt
7,2,1,Dale Carnegie
8,2,2,Bìa mềm
9,2,3,NXB Tổng hợp TP.HCM
10,2,4,06-2016
11,2,5,311
12,2,6,Tiếng Việt
13,3,1,Baird T.Spalding
14,3,2,Bìa cứng
15,3,3,First News - Trí Việt
16,3,4,01-2019
17,3,5,256
18,3,6,Tiếng Việt
19,4,1,Kulzsc
20,4,2,Bìa mềm
21,4,3,NXB Phụ nữ Việt Nam
22,4,4,08-2020
23,4,5,96
24,4,6,Tiếng Việt
25,5,1,Nguyễn Nhật Ánh
26,5,2,Bìa mềm
27,5,3,NXB Trẻ
28,5,4,11-2020
29,5,5,396
30,5,6,Tiếng Việt
31,6,1,David A. Phillips
32,6,2,Bìa mềm
33,6,3,First News - Trí Việt
34,6,4,10-2020
35,6,5,342
36,5,6,Tiếng Việt
37,7,1,Nguyên Phong
38,7,2,Bìa mềm
39,7,3,First News - Trí Việt
40,7,4,10-2018
41,7,5,408
42,7,6,Tiếng Việt
43,8,1,"S.J. Scott, Barrie Davenport"
44,8,2,Bìa mềm
45,8,3,NXB Hồng Đức
46,8,4,01-2019
47,8,5,364
48,8,6,Tiếng Anh
49,9,1,Tony Buổi Sáng
50,9,2,Bìa mềm
51,9,3,NXB Trẻ
52,9,4,10-2017
53,9,5,308
54,9,6,Tiếng Việt
55,10,1,Rosie Nguyễn
56,10,2,Bìa mềm
57,10,3,Nhã Nam
58,10,4,01-2018
59,10,5,285
60,10,6,Tiếng Việt
61,11,1,Nguyễn Nhật Ánh
62,11,2,Bìa mềm
63,11,3,NXB Trẻ
64,11,4,07-2019
65,11,5,300
66,11,6,Tiếng Việt
67,12,1,Tống Mặc
68,12,2,Bìa mềm
69,12,3,NTX Thế Giới
70,12,4,01-2019
71,12,5,264
72,12,6,Tiếng Việt
73,13,1,Nguyễn Ngọc Thạch
74,13,2,Bìa cứng
75,13,3,NXB Phụ nữ Việt Nam
76,13,4,11-2020
77,13,5,220
78,13,6,Tiếng Việt
79,14,1,Paulo Coelho
80,14,2,Bìa mềm
81,14,3,NXB Văn Học
82,14,4,10-2013
83,14,5,228
84,14,6,Tiếng Việt
85,15,1,Tony Buổi Sáng
86,15,2,Bìa mềm
87,15,3,NXB Trẻ
88,15,4,11-2017
89,15,5,268
90,15,6,Tiếng Việt
91,16,1,Robin Sharma
92,16,2,Bìa mềm
93,16,3,NXB Trẻ
94,16,4,10-2018
95,16,5,228
96,16,6,Tiếng Việt
97,17,1,Yuval Noah Harari
98,17,2,Bìa mềm
99,17,3,NXB Trí Thức
100,17,4,11-2017
101,17,5,554
102,17,6,Tiếng Việt
